no,jalan,seksyen,remark,muk_bdr,alamat_pepasangan,pic,jumlah_bilangan_unit_pengecas,long,kod_negeri,bil_,location_coordinate,ac_bay,kg_tmn,nam_par,lat,dc_bay,kod_daerah,a,ac,id_ev,tarikkkemaskini,nam_adm,catatan,kod_dun,nama_pemegang_lesen_,upi,jumlah_bay,kod_par,unit_tkt,negeri,nam_dun,bangunan,no__lesen,daerah,daerah_1,kapasiti_pepasangan__kw_,tempoh_sah_lesen,objectid,dc,geometry_x,geometry_y
,JALAN PENGKALAN, ,,MUKIM 11,"CYCLE & CARRIAGE BUKIT TENGAH, LOT 1619, JALAN PENGKALAN , KAMPUNG BUKIT TENGAH, 14000 BUKIT MERTAJAM PULAU PINANG",,1,100.42463312,07,236,"5.349848600886936, 100.42463312288656",0,KAMPUNG BUKIT TENGAH,P.046 - BATU KAWAN,5.3498486,2,01,1,0,10005,1767052800000,SPT MUKIM 11,,N.17,CYCLE & CARRIAGE BINTANG (NORTHERN) SDN BHD,070111000,2,P.046,LOT 1619,PULAU PINANG,N.17 - BUKIT TENGAH,CYCLE & CARRIAGE BUKIT TENGAH,LA 12/1/16/355 (D-EVCS),SPT,SEBERANG PERAI TENGAH,180,7/2/2024 - 6/2/2034,11,1,100.42463312300004,5.349848601000076
,LEBUHRAYA BUTTERWORTH - KULIM, ,,MUKIM 4,"STESEN MINYAK PETRONAS BKE 1, LOT 119 & 123, LEBUHRAYA BUTTERWORTH - KULIM, PERMATANG PAUH MUKIM 4 SEBERANG PERAI TENGAH, 13700 SEBERANG PERAI TENGAH PULAU PINANG",,1,100.41109318,07,245,"5.397877489291228, 100.41109317625057",0,,P.044 - PERMATANG PAUH,5.39787749,1,01,1,0,10006,1767052800000,SPT MUKIM 4,,N.10,GENTARI GREEN MOBILITY SDN. BHD.,070104000,1,P.044,LOT 119 & 123,PULAU PINANG,N.10 - SEBERANG JAYA,STESEN MINYAK PETRONAS BKE 1,LA 12/1/16/373 (D-EVCS),SPT,SEBERANG PERAI TENGAH,24,16/2/2024 - 15/2/2034,12,1,100.41109317600007,5.397877489000052
,LEBUH TUNKU KUDIN 3,SEK. 4,,JELUTONG,"LOT 776, UDINI SQUARE, LEBUH TUNKU KUDIN 3, 11700 GELUGOR PULAU PINANG",,1,100.31423915,07,260,"5.378405503957347, 100.31423914917231",0,,P.051 - BUKIT GELUGOR,5.3784055,3,04,1,0,40007,1767052800000,DTL JELUTONG SEK. 4,,N.32,HANDAL GREEN MOBILITY SDN. BHD.,070445004,3,P.051,"LOT 776,",PULAU PINANG,N.32 - SERI DELIMA,UDINI SQUARE,LA 12/1/16/342 (D-EVCS),DTL,TIMOR LAUT,50,9/2/2024 - 8/2/2034,13,1,100.31423914900006,5.378405504000057
,LEBUH THEAN TEIK, ,,MUKIM 13,"ALL SEASONS PLACE, MUKIM AYER HITAM, 11500  GEORGETOWN PULAU PINANG",,4,100.29044443,07,265,"5.396598831408358, 100.29044442836353",4,,P.051 - BUKIT GELUGOR,5.39659883,0,04,1,4,40008,1767052800000,DTL MUKIM 13,,N.33,TESLA SDN BHD,070401000,4,P.051,,PULAU PINANG,N.33 - AIR ITAM,ALL SEASONS PLACE,LA 12/1/16/347 (D-EVCS),DTL,TIMOR LAUT,44,19/2/2024 - 18/2/2034,14,0,100.29044442800006,5.3965988310000625
NO.1,EDUCATION BOULEVARD, ,,MUKIM 13,"NO.1 13 BATU KAWAN, 14110 PULAU PINANG",,8,100.4262708,07,267,"5.223541943254531, 100.42627079590068",8,KAMPUNG BATU KAWAN,P.046 - BATU KAWAN,5.22354194,0,03,0,8,30001,1767052800000,SPS MUKIM 13,,N.18,TESLA SDN.BHD.,070313000,8,P.046,,PULAU PINANG,N.18 - BUKIT TAMBUN,BATU KAWAN INDUSTRIAL PARK,LA 12/1/16/370 (D-EVCS),SPS,SEBERANG PERAI SELATAN,88,20/2/2024 - 19/2/2034,15,0,100.42627079600004,5.223541943000043
,LORONG SETIA SENTRAL 2, ,,MUKIM 6,"JURU SETIA SENTRAL, LOT 6154 MUKIM 6 SEBERANG PERAI TENGAH, 13600 SEBERANG PERAI TENGAH PULAU PINANG",,1,100.41845018,07,270,"5.355406504812474, 100.41845017843869",0,,P.046 - BATU KAWAN,5.3554065,2,01,0,0,10007,1767052800000,SPT MUKIM 6,,N.17,TNBX SDN. BHD.,070106000,2,P.046, LOT 6154,PULAU PINANG,N.17 - BUKIT TENGAH,JURU SETIA SENTRAL,LA 12/1/16/351 (D-EVCS),SPT,SEBERANG PERAI TENGAH,20,7/3/2024 - 6/3/2034,16,1,100.41845017800006,5.355406505000076
102,JALAN BURMA,SEK. 15,,GEORGE TOWN,"NEW WORLD PARK, 102, JALAN BURMA, MUKIM GEORGETOWN, 10050 GEORGETOWN PULAU PINANG",,1,100.32690878,07,275,"5.420626234161724, 100.32690878465745",0,,P.049 - TANJONG,5.42062623,2,04,1,0,40009,1767052800000,DTL GEORGE TOWN SEK. 15,,N.26,CARPUT ZAP NETWORK SDN BHD,070444015,2,P.049,,PULAU PINANG,N.26 - PADANG KOTA,NEW WORLD PARK,LA 12/1/16/349 (D-EVCS),DTL,TIMOR LAUT,120,7/3/2024 - 6/3/2034,17,1,100.32690878500006,5.4206262340000535
163D,PERSIARAN GURNEY ,SEK. 1,,GEORGE TOWN,"DECATHLON GURNEY PARAGON, 163D, PERSIARAN GURNEY GEORGETOWN , 10250 GEORGETOWN PULAU PINANG",,3,100.31123512,07,289,"5.43563787457691, 100.31123512152739",3,,P.048 - BUKIT BENDERA,5.43563787,0,04,1,3,40010,1767052800000,DTL GEORGE TOWN SEK. 1,,N.25,DECATHLON MALAYSIA SDN BHD,070444001,3,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,DECATHLON GURNEY PARAGON,LA 12/1/16/400 (D-EVCS),DTL,TIMOR LAUT,66,4/3/2024 - 3/3/2034,18,0,100.31123512100004,5.4356378750000545
168,JALAN TANJUNG TOKONG,SEK. 1,,TANJONG TOKONG,"168 JALAN TANJUNG TOKONG, KAMPUNG MASJID , 10470 TANJUNG TOKONG PULAU PINANG",,2,100.30562488,07,331,"5.4525240806866115, 100.30562487968622",2, KAMPUNG MASJID,P.048 - BUKIT BENDERA,5.45252408,0,04,1,2,40011,1767052800000,DTL TANJONG TOKONG SEK. 1,,N.24,ROCKETVILLE SDN BHD,070447001,2,P.048,,PULAU PINANG,N.24 - KEBUN BUNGA,FETTES RESIDENCES,LA 12/1/16/346 (D-EVCS),DTL,TIMOR LAUT,44,26/2/2024- 25/2/2034,19,0,100.30562488000004,5.4525240810000355
,JALAN SUNGAI BAKAP, ,,MUKIM 11,"LOT 10609, MUKIM, 11, JALAN SUNGAI BAKAP, 14200 SUNGAI JAWI, PULAU PINANG",,1,100.48919427,07,371,"5.193362419524151, 100.48919426784437",0,,P.047 - NIBONG TEBAL,5.19336242,2,03,1,0,30009,1770768000000,SPS MUKIM 11,,N.19,HANDAL GREEN MOBILITY SDN. BHD.,070311000,2,P.047,LOT 10609,PULAU PINANG,N.19 - JAWI,IJM BAYOURI GALLERY,LA 12/1/16/526 (D-EVCS),SPS,SEBERANG PERAI SELATAN,47,4/4/2024 - 3/4/2034,20,1,100.48919426800006,5.193362420000028
