no,jalan,seksyen,remark,muk_bdr,alamat_pepasangan,pic,jumlah_bilangan_unit_pengecas,long,kod_negeri,bil_,location_coordinate,ac_bay,kg_tmn,nam_par,lat,dc_bay,kod_daerah,a,ac,id_ev,tarikkkemaskini,nam_adm,catatan,kod_dun,nama_pemegang_lesen_,upi,jumlah_bay,kod_par,unit_tkt,negeri,nam_dun,bangunan,no__lesen,daerah,daerah_1,kapasiti_pepasangan__kw_,tempoh_sah_lesen,objectid,dc,geometry_x,geometry_y
570,JALAN PERDA UTAMA, ,,MUKIM 7,"KPJ PENANG SPECIALIST HOSPITAL, 570, JLN PERDA UTAMA, BANDAR BARU PERDA MUKIM 7 SEBERANG PERAI TENGAH, 14000 SEBERANG PERAI TENGAH PULAU PINANG",,3,100.434293,07,470,"5.369311584569674, 100.43429299502853",3,,P.044 - PERMATANG PAUH,5.36931158,0,01,1,3,10013,1767052800000,SPT MUKIM 7,,N.10,GENTARI GREEN MOBILITY SDN. BHD.,070107000,3,P.044,,PULAU PINANG,N.10 - SEBERANG JAYA,KPJ PENANG SPECIALIST HOSPITAL,LA 12/1/16/572 (D-EVCS),SPT,SEBERANG PERAI TENGAH,21,17/5/2024 - 16/5/2034,32,0,100.43429299500008,5.369311585000048
746,PERSIARAN CASSIA SELATAN 3 , ,,MUKIM 13,"INDUSTRIAL PARK, 746, PERSIARAN CASSIA SELATAN 3 BANDAR CASSIA BATU KAWAN, 14110 PULAU PINANG",,3,100.44260881,07,501,"5.226926879239229, 100.44260881037049",3,,P.046 - BATU KAWAN,5.22692688,0,03,1,3,30003,1767052800000,SPS MUKIM 13,,N.18,POWERBEE SDN BHD,070313000,3,P.046,,PULAU PINANG,N.18 - BUKIT TAMBUN,VITROX TECHNOLOGIES,LA 12/1/16/589 (D-EVCS),SPS,SEBERANG PERAI SELATAN,66,27/5/2024 - 26/5/2034,33,0,100.44260881000008,5.226926879000075
NO. 28,PERSIARAN GURNEY,SEK. 4,,GEORGE TOWN,"GURNEY BEACH RESORT CONDOMINIUM, NO. 28, PERSIARAN GURNEY , 10250 GEORGETOWN PULAU PINANG",,3,100.31863454,07,502,"5.430485427554577, 100.31863453735741",3,,P.048 - BUKIT BENDERA,5.43048543,0,04,1,3,40017,1767052800000,DTL GEORGE TOWN SEK. 4,,N.25,POWERBEE SDN BHD,070444004,3,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,GURNEY BEACH RESORT CONDOMINIUM,LA 12/1/16/605 (D-EVCS),DTL,TIMOR LAUT,66,27/5/2024 - 26/5/2034,34,0,100.31863453700004,5.430485428000054
,JALAN JELUTONG,SEK. 9(w),,GEORGE TOWN,"SMART PENANG BANDAR GEORGETOWN DAERAH TIMOR LAUT, 11600 GEORGETOWN PULAU PINANG",,1,100.32335904,07,519,"5.400815223624767, 100.32335904315129",0,,P.050 - JELUTONG,5.40081522,2,04,1,0,40018,1767052800000,DTL GEORGE TOWN SEK. 9(w),,N.30,ELEGANZ LIFESTYLE SDN. BHD.,070444025,2,P.050,,PULAU PINANG,N.30 - SUNGAI PINANG,SMART PENANG ,LA 12/1/16/575 (D-EVCS),DTL,TIMOR LAUT,120,24/6/2024 - 23/6/2034,35,1,100.32335904300004,5.400815224000041
55,PERSIARAN GURNEY,SEK. 4,,GEORGE TOWN,"MARRIOTT HOTEL & RESIDENCES PENANG, 55, PERSIARAN GURNEY, N/A , 10250 GEORGETOWN PULAU PINANG",,13,100.31754711,07,521,"5.431967330444378, 100.31754710812145",13,,P.048 - BUKIT BENDERA,5.43196733,0,04,1,13,40019,1767052800000,DTL GEORGE TOWN SEK. 4,,N.25,EV CONNECTION SDN BHD,070444004,13,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,MARRIOTT HOTEL & RESIDENCES PENANG,LA 12/1/16/709 (D-EVCS),DTL,TIMOR LAUT,132,18/6/2024 - 17/6/2034,36,0,100.31754710800004,5.43196733000002
,LEBUHRAYA BANDAR CASSIA, ,,MUKIM 13,"ECO HORIZON CLUBHOUSE, LOT 12245 (PT5261), MUKIM 13, LEBUHRAYA BANDAR CASIA, 14100 SEBERANG PERAI PULAU PINANG ",,1,100.44447314,07,528,"5.238784786347686, 100.4444731439914",1,,P.046 - BATU KAWAN,5.23878479,0,03,1,1,30004,1767052800000,SPS MUKIM 13,,N.18,EV CONNECTION SDN BHD,070313000,1,P.046,LOT 12245 (PT5261),PULAU PINANG,N.18 - BUKIT TAMBUN,ECO HORIZON CLUBHOUSE,LA 12/1/16/653 (D-EVCS),SPS,SEBERANG PERAI SELATAN,11,18/6/2024 - 17/6/2034,37,0,100.44447314400009,5.238784786000053
,JALAN JURU SENTRAL, ,,MUKIM 11,"G-01, MENARA SENTRAL, JALAN JURU SENTRAL, 14000 BUKIT MERTAJAM, PULAU PINANG. ",,4,100.43465715,07,532,"5.3417978883081245, 100.43465714573718",3,,P.046 - BATU KAWAN,5.34179789,1,01,1,3,10015,1767052800000,SPT MUKIM 11,,N.17,EV CONNECTION SDN BHD,070111000,4,P.046,G-01,PULAU PINANG,N.17 - BUKIT TENGAH,MENARA SENTRAL,LA 12/1/16/702 (D-EVCS),SPT,SEBERANG PERAI TENGAH,50,18/6/2024 - 17/6/2034,38,1,100.43465714600006,5.3417978880000305
,JALAN PERDA UTARA 1, ,,MUKIM 7,"PARKING BAY G57, G58 & G59, PANGSAPURI SERVIS METRO, JALAN PERDA UTARA 1, BANDAR BARU PERDA , 14000 BUKIT MERTAJAM PULAU PINANG",,3,100.43720968,07,533,"5.3700316787931515, 100.4372096798278",3,,P.044 - PERMATANG PAUH,5.37003168,0,01,1,3,10016,1767052800000,SPT MUKIM 7,,N.10,EV CONNECTION SDN BHD,070107000,3,P.044,"PARKING BAY G57, G58 & G59",PULAU PINANG,N.10 - SEBERANG JAYA,PANGSAPURI SERVIS METRO,LA 12/1/16/736 (D-EVCS),SPT,SEBERANG PERAI TENGAH,66,4/7/2024 - 3/7/2034,39,0,100.43720968000008,5.3700316790000215
NO. 3974,JALAN INDUSTRI CENDERAWASIH 1, ,,MUKIM 11,"C-MART NIBONG TEBAL, NO. 3974, JALAN INDUSTRI CENDERAWASIH 1, KOMPLEKS INDUSTRI CENDERAWASIH, 14300 NIBONG TEBAL  PULAU PINANG",,1,100.48129968,07,562,"5.178454387275407, 100.48129967718938",0,,P.047 - NIBONG TEBAL,5.17845439,2,03,1,0,30005,1767052800000,SPS MUKIM 11,,N.19,HANDAL GREEN MOBILITY SDN BHD,070311000,2,P.047,,PULAU PINANG,N.19 - JAWI,C-MART NIBONG TEBAL,LA 12/1/16/643 (D-EVCS),SPS,SEBERANG PERAI SELATAN,47,14/6/2024 - 13/6/2034,40,1,100.48129967700004,5.178454387000045
56,JALAN LOW YAT,SEK. 2,,BATU FERRINGGI,"DOUBLETREE RESORT BY HILTON PENANG, 56, JALAN LOW YAT, PUNCAK RIA, 11100 BATU FERRINGHI  PULAU PINANG",,1,100.26971043,07,590,"5.477560186506854, 100.26971043155022",0,,P.048 - BUKIT BENDERA,5.47756019,1,04,1,0,40022,1767052800000,DTL BATU FERRINGGI SEK. 2,,N.22,CARPUT ZAP NETWORK SDN BHD,070441002,1,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,DOUBLETREE RESORT BY HILTON PENANG,LA 12/1/16/786 (D-EVCS),DTL,TIMOR LAUT,30,29/7/2024 - 28/7/2034,41,1,100.26971043200007,5.477560187000051
,JALAN BARU, ,,MUKIM 6,"MYDIN BUKIT MERTAJAM, GROUND FLOOR MYDIN WHOLESALE HYPERMARKET BUKIT MERTAJAM, MUKIM 06, JALAN BARU, 13600 SEBERANG PERAI TENGAH PULAU PINANG",,1,100.4150731,07,601,"5.368614456854936, 100.41507310016061",0,,P.044 - PERMATANG PAUH,5.36861446,6,01,1,0,10018,1767052800000,SPT MUKIM 6,,N.10,CHARGEHERE EV SOLUTION SDN BHD,070106000,6,P.044,GROUND FLOOR ,PULAU PINANG,N.10 - SEBERANG JAYA,MYDIN WHOLESALE HYPERMARKET BUKIT MERTAJAM,LA 12/1/16/654 (D-EVCS),SPT,SEBERANG PERAI TENGAH,80,11/7/2024 - 10/7/2034,42,1,100.41507310000009,5.368614457000035
, LORONG SERI TANJUNG PINANG,SEK. 1,,TANJONG PINANG,"QUAYSIDE SEAFRONT RESORT CONDOMINIUM LORONG SERI TANJUNG PINANG TANJONG TOKONG, 10470 PULAU PINANG",,4,100.31200368,07,613,"5.459512258899513, 100.31200367834782",4,,P.048 - BUKIT BENDERA,5.45951226,0,04,1,4,40023,1767052800000,DTL TANJONG PINANG SEK. 1,,N.22,CHARGEHERE EV SOLUTION SDN BHD,070448001,4,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,QUAYSIDE SEAFRONT RESORT CONDOMINIUM,LA 12/1/16/699 (D-EVCS),DTL,TIMOR LAUT,44,11/7/2024 - 10/7/2034,43,0,100.31200367800005,5.459512259000064
88,JALAN SUNGAI KELIAN, ,,TANJONG BUNGAH,"TREE SQUARE, 88, JALAN SUNGAI KELIAN, 11200 TANJUNG BUNGA  PULAU PINANG",,2,100.28376601,07,627,"5.463357071161076, 100.28376600981808",2,,P.048 - BUKIT BENDERA,5.46335707,0,04,1,2,40024,1767052800000,DTL TANJONG BUNGAH,,N.22,EV CONNECTION SDN BHD,070446000,2,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,TREE SQUARE,LA 12/1/16/794 (D-EVCS),DTL,TIMOR LAUT,22,24/7/2024 - 23/7/2034,44,0,100.28376601000008,5.463357071000075
15,JALAN ANSON,SEK. 16,,GEORGE TOWN,"AUTO BAVARIA PENANG, 15, JALAN ANSON, 10400 GEORGETOWN, PULAU PINANG",,1,100.32513066,07,635,"5.4209571984958895, 100.3251306645859",1,,P.049 - TANJONG,5.4209572,0,04,0,1,40026,1767052800000,DTL GEORGE TOWN SEK. 16,,N.26,GREEN EV CHARGE SDN BHD,070444016,1,P.049,,PULAU PINANG,N.26 - PADANG KOTA,AUTO BAVARIA PENANG,LA 12/1/16/726 (D-EVCS),DTL,TIMOR LAUT,3.7,12/7/2024 - 11/7/2034,45,0,100.32513066500007,5.420957198000053
7,JALAN KELAWEI,SEK. 4,,GEORGE TOWN,"CARPARK UOB JALAN KELAWEI, 7, BANDAR GEORGETOWN, 10250 GEORGETOWN  PULAU PINANG",,1,100.31864167,07,652,"5.429412479000844, 100.31864167116419",0,,P.048 - BUKIT BENDERA,5.42941248,2,04,1,0,40027,1767052800000,DTL GEORGE TOWN SEK. 4,,N.25,OPENSYS TECHNOLOGIES SDN BHD,070444004,2,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,CARPARK UOB,LA 12/1/16/828 (D-EVCS),DTL,TIMOR LAUT,40,25/7/2024 - 24/7/2034,46,1,100.31864167100008,5.429412479000064
NO. 3-2-1,JALAN SERI TANJUNG PINANG 1,SEK. 1,,TANJONG PINANG,"THE TAMARIND CONDOMINIUM, NO. 3-2-1, JALAN SERI TANJUNG PINANG 1, 10470 TANJUNG TOKONG, PULAU PINANG",,2,100.30959638,07,673,"5.45684087689838, 100.30959638153574",2,,P.048 - BUKIT BENDERA,5.45684088,0,04,1,2,40028,1767052800000,DTL TANJONG PINANG SEK. 1,,N.22,CHARGEHERE EV SOLUTION SDN BHD,070448001,2,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,THE TAMARIND CONDOMINIUM,LA 12/1/16/830 (D-EVCS),DTL,TIMOR LAUT,22,14/8/2024-13/8/2034,47,0,100.30959638100006,5.456840877000047
2,PERSIARAN MAKTAB,SEK. 1,,GEORGE TOWN,"G HOTEL KELAWAI, 2 PERSIARAN MAKTAB, 10250 GEORGETOWN, PULAU PINANG",,2,100.30993129,07,685,"5.435770146447416, 100.3099312896632",2,,P.048 - BUKIT BENDERA,5.43577015,0,04,1,2,40029,1767052800000,DTL GEORGE TOWN SEK. 1,,N.25,CHARGEHERE EV SOLUTION SDN BHD,070444001,2,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,G HOTEL KELAWAI,LA 12/1/16/808 (D-EVCS),DTL,TIMOR LAUT,22,14/8/2024-13/8/2034,48,0,100.30993129000007,5.4357701460000385
,JALAN CHAIN FERRY,SEK. 4,,BUTTERWORTH,"WOODSBURY SUITES, JALAN CHAIN FERRY, KAMPUNG PERLIS, 12100 BUTTERWORTH  PULAU PINANG",,4,100.37533297,07,688,"5.399117887065005, 100.37533296707302",4,KAMPUNG PERLIS,P.043 - BAGAN,5.39911789,0,02,1,4,20003,1767052800000,SPU BUTTERWORTH SEK. 4,,N.09,CHARGEHERE EV SOLUTION SDN BHD,070240004,4,P.043,,PULAU PINANG,N.09 - BAGAN DALAM,WOODSBURY SUITES,LA 12/1/16/811 (D-EVCS),SPU,SEBERANG PERAI UTARA,44,14/8/2024-13/8/2034,49,0,100.37533296700008,5.399117887000045
NO.2258,PERSIARAN DAGANGAN 1, ,,MUKIM 6,"LOTUS'S BERTAM PERDANA, NO.2258, PERSIARAN DAGANGAN 1, PUSAT BANDAR BERTAM PERDANA, KEPALA BATAS, 13200 SEBERAI PERAI UTARA  PULAU PINANG",,1,100.44306482,07,699,"5.517159677180956, 100.44306482473839",0,PUSAT BANDAR BERTAM PERDANA,P.041 - KEPALA BATAS,5.51715968,2,02,0,0,20004,1767052800000,SPU MUKIM 6,,N.02,CHARGEHERE EV SOLUTION SDN BHD,070206000,2,P.041,,PULAU PINANG,N.02 - BERTAM,LOTUS'S BERTAM PERDANA,LA 12/1/16/841 (D-EVCS),SPU,SEBERANG PERAI UTARA,60,14/8/2024-13/8/2034,50,1,100.44306482500008,5.517159677000052
,GAT LEBUH SANDILANDS,SEK. 11(e),,GEORGE TOWN,"LOWER LEVEL FLOOR, THE SANDILANDS, GAT LEBUH SANDILANDS, 10300 GEORGETOWN PULAU PINANG",,5,100.32920438,07,700,"5.405293374557699, 100.32920438120344",5,,P.049 - TANJONG,5.40529337,0,04,1,5,40030,1767052800000,DTL GEORGE TOWN SEK. 11(e),,N.27,CHARGEHERE EV SOLUTION SDN BHD,070444011,5,P.049,,PULAU PINANG,N.27 - PENGKALAN KOTA,THE SANDILANDS,LA 12/1/16/842 (D-EVCS),DTL,TIMOR LAUT,55,14/8/2024-13/8/2034,51,0,100.32920438100007,5.405293375000042
 2-2-2,LEBUH TUNKU KUDIN 2,SEK. 4,,JELUTONG,"PARKING LOT GROUND FLOOR, BAYSWATER RESORT CONDOMINIUM, 2-2-2, LEBUH TUNKU KUDIN 2, 11700 GELUGOR  PULAU PINANG",,3,100.3144229,07,702,"5.376655267547829, 100.31442290489777",3,,P.051 - BUKIT GELUGOR,5.37665527,0,04,1,3,40031,1767052800000,DTL JELUTONG SEK. 4,,N.32,CHARGEHERE EV SOLUTION SDN BHD,070445004,3,P.051,PARKING LOT GROUND FLOOR,PULAU PINANG,N.32 - SERI DELIMA,BAYSWATER RESORT CONDOMINIUM,LA 12/1/16/844 (D-EVCS),DTL,TIMOR LAUT,33,14/8/2024-13/8/2034,52,0,100.31442290500007,5.376655268000036
NO.1,JALAN SERI TANJUNG PINANG,SEK. 1,,TANJONG PINANG,"LOTUS'S TANJUNG PINANG NO.1, JALAN SERI TANJUNG PINANG, 10470 TANJUNG TOKONG, PULAU PINANG",,1,100.30898101,07,705,"5.459024008575729, 100.30898101063067",0,,P.048 - BUKIT BENDERA,5.45902401,2,04,1,0,40032,1767052800000,DTL TANJONG PINANG SEK. 1,,N.22,CHARGEHERE EV SOLUTION SDN BHD,070448001,2,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,LOTUS'S TANJUNG PINANG,LA 12/1/16/857 (D-EVCS),DTL,TIMOR LAUT,60,14/8/2024-13/8/2034,53,1,100.30898101100007,5.459024009000075
NO. 169,JALAN JELUTONG,SEK. 9(w),,GEORGE TOWN,"ELEGANZ LIFESTYLE (SMART PENANG), NO. 169, JALAN JELUTONG, 11600 GEORGETOWN, PULAU PINANG",,6,100.32326596,07,714,"5.40085554480763, 100.32326596348176",6,,P.050 - JELUTONG,5.40085554,3,04,0,6,40033,1767052800000,DTL GEORGE TOWN SEK. 9(w),,N.30,ELEGANZ LIFESTYLE SDN. BHD.,070444025,9,P.050,,PULAU PINANG,N.30 - SUNGAI PINANG,ELEGANZ LIFESTYLE (SMART PENANG),LA 12/1/16/949 (D-EVCS),DTL,TIMOR LAUT,113.7,21/8/2024 - 20/8/2034,54,0,100.32326596400009,5.40085554500007
18,PERSIARAN GURNEY,SEK. 4,,GEORGE TOWN,"ASCOTT GURNEY HOTEL, 18, PERSIARAN GURNEY, GEORGETOWN, PULAU PINANG",,2,100.31926236,07,725,"5.430285763198395, 100.31926236062405",2,,P.048 - BUKIT BENDERA,5.43028576,0,04,1,2,40091,1767052800000,DTL GEORGE TOWN SEK. 4,,N.25,GREEN EV CHARGE SDN BHD,070444004,2,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,ASCOTT GURNEY HOTEL,LA 12/1/16/818 (D-EVCS),DTL,TIMOR LAUT,44,23/8/2024 - 22/8/2034,55,0,100.31926236100009,5.430285763000029
,JALAN RAJA UDA,SEK. 3,,BUTTERWORTH,"STARBUCKS JALAN RAJA UDA DT, JALAN RAJA UDA, TELOK AIR TAWAR, 12300 BUTTERWORTH PULAU PINANG",,1,100.38144109,07,729,"5.415238366303823, 100.38144109381768",0,TELOK AIR TAWAR,P.043 - BAGAN,5.41523837,2,02,1,0,20005,1767052800000,SPU BUTTERWORTH SEK. 3,,N.08,GREEN EV CHARGE SDN BHD,070240003,2,P.043,,PULAU PINANG,N.08 - BAGAN JERMAL,STARBUCKS JALAN RAJA UDA DT,LA 12/1/16/937 (D-EVCS),SPU,SEBERANG PERAI UTARA,60,23/8/2024 - 22/8/2034,56,1,100.38144109400008,5.41523836600004
830,JALAN TELUK BAHANG, ,,MUKIM 2,"ENTOPIA BY PENANG BUTTERFLY FARM 830 JALAN TELUK BAHANG , 11050 TELUK BAHANG  PULAU PINANG",,2,100.21507212,07,734,"5.447648965364234, 100.21507211503337",2,,P.053 - BALIK PULAU,5.44764897,0,05,1,2,50002,1767052800000,DBD MUKIM 2,,N.40,GREEN EV CHARGE SDN BHD,070502000,2,P.053,,PULAU PINANG,N.40 - TELOK BAHANG,ENTOPIA BY PENANG BUTTERFLY FARM,LA 12/1/16/800 (D-EVCS),DBD,BARAT DAYA,44,23/8/2024 - 22/8/2034,57,0,100.21507211500005,5.447648965000042
,JALAN MASJID NEGERI ,SEK. 5,,GEORGE TOWN,"STARBUCKS ISLAND GLADES, 2-D, JALAN MASJID NEGERI, TAMAN ISLAND GLADES, JELUTONG, 11600 PULAU PINANG",,1,100.3042345,07,740,"5.38685172678976, 100.30423450367637",1,TAMAN ISLAND GLADES ,P.051 - BUKIT GELUGOR,5.38685173,0,04,1,1,40034,1767052800000,DTL GEORGE TOWN SEK. 5,,N.32,GREEN EV CHARGE SDN BHD,070444005,1,P.051,2-D,PULAU PINANG,N.32 - SERI DELIMA,STARBUCKS ISLAND GLADES,LA 12/1/16/868 (D-EVCS),DTL,TIMOR LAUT,22,23/8/2024 - 22/8/2034,58,0,100.30423450400008,5.386851727000021
62A ,LORONG PERMAI, ,,MUKIM 13,"RAFFEL TOWER, 62A LORONG PERMAI, TAMAN BROWN, 11700 GELUGOR, PULAU PINANG",,2,100.29803371,07,749,"5.371030607349528, 100.29803370918515",2,TAMAN BROWN,P.052 - BAYAN BARU,5.37103061,0,04,1,2,40035,1767052800000,DTL MUKIM 13,,N.35,GREENERGY EV SDN BHD,070401000,2,P.052,,PULAU PINANG,N.35 - BATU UBAN,RAFFEL TOWER,LA 12/1/16/915 (D-EVCS),DTL,TIMOR LAUT,44,2/8/2024 - 1/8/2034,59,0,100.29803370900004,5.371030607000023
,LENGKOK MAYANG PASIR 1, ,,MUKIM 12,"PL-D'PIAZZA CONDOMINIUM, PARKING LEVEL 1, NO.B-3A-2, LENGKOK MAYANG PASIR 1, 11950 BAYAN BARU  PULAU PINANG",,4,100.28271745,07,768,"5.326632327703594, 100.28271744905132",4,,P.052 - BAYAN BARU,5.32663233,0,05,1,4,50003,1767052800000,DBD MUKIM 12,,N.36,BLH ECOENERGY SDN BHD,070512000,4,P.052," PARKING LEVEL 1, NO.B-3A-2",PULAU PINANG,N.36 - PANTAI JEREJAK,PL-D'PIAZZA CONDOMINIUM,LA 12/1/16/966 (D-EVCS),DBD,BARAT DAYA,88,10/9/2024 - 9/9/2034,60,0,100.28271744900007,5.326632328000073
NO. 54,JALAN LOW YAT,SEK. 2,,BATU FERRINGGI,"THE REEF CONDOMINIUM, NO. 54 JALAN LOW YAT, PUNCAK RAYA, 11100 BATU FERRINGHI  PULAU PINANG",,2,100.2699996,07,789,"5.477950911138742, 100.26999960017662",2, PUNCAK RAYA,P.048 - BUKIT BENDERA,5.47795091,0,04,1,2,40036,1767052800000,DTL BATU FERRINGGI SEK. 2,,N.22,CHARGEHERE EV SOLUTION SDN BHD,070441002,2,P.048,,PULAU PINANG,N.22 - TANJONG BUNGA,THE REEF CONDOMINIUM,LA 12/1/16/1028 (D-EVCS),DTL,TIMOR LAUT,22,20/9/2024 - 19/9/2034,61,0,100.26999960000006,5.47795091100005
NO.2323,JALAN ROZHAN, ,,MUKIM 14,"LOTUS'S BUKIT MERTAJAM NO.2323, JALAN ROZHAN, PUSAT PERNIAGAAN SERI IMPIAN BUKIT MERTAJAM, 14000 BUKIT MERTAJAM PULAU PINANG",,1,100.47602738,07,796,"5.3161781989749555, 100.4760273796571",0, PUSAT PERNIAGAAN SERI IMPIAN BUKIT MERTAJAM,P.045 - BUKIT MERTAJAM,5.3161782,2,01,1,0,10020,1767052800000,SPT MUKIM 14,,N.14,CHARGEHERE EV SOLUTION SDN BHD,070114000,2,P.045,,PULAU PINANG,N.14 - MACHANG BUBUK,LOTUS'S BUKIT MERTAJAM,LA 12/1/16/873 (D-EVCS),SPT,SEBERANG PERAI TENGAH,60,20/9/2024 - 19/9/2034,62,1,100.47602738000006,5.316178199000035
 NO.1,LEBUH TENGKU KUDIN 1,SEK. 4,,JELUTONG,"LOTUS'S PENANG E-GATE NO.1 LEBUH TENGKU KUDIN 1 BANDAR JELUTONG, 11700 PULAU PINANG",,1,100.31517638,07,801,"5.37739692423176, 100.31517638118716",0,,P.051 - BUKIT GELUGOR,5.37739692,2,04,1,0,40037,1767052800000,DTL JELUTONG SEK. 4,,N.32,CHARGEHERE EV SOLUTION SDN BHD,070445004,2,P.051,,PULAU PINANG,N.32 - SERI DELIMA,LOTUS'S PENANG E-GATE,LA 12/1/16/900 (D-EVCS),DTL,TIMOR LAUT,60,20/9/2024 - 19/9/2034,63,1,100.31517638100007,5.377396924000038
"PMT 7528,",JALAN BAGAN AJAM,SEK. 1,,BUTTERWORTH,"LOTUS'S BAGAN AJAM, PMT 7528, JALAN BAGAN AJAM, 13000 BUTTERWORTH  PULAU PINANG",,1,100.38186372,07,804,"5.439238112305097, 100.38186371857635",0,,P.043 - BAGAN,5.43923811,2,02,1,0,20006,1767052800000,SPU BUTTERWORTH SEK. 1,,N.07,CHARGEHERE EV SOLUTION SDN BHD,070240001,2,P.043,,PULAU PINANG,N.07 - SUNGAI PUYU,LOTUS'S BAGAN AJAM,LA 12/1/16/904 (D-EVCS),SPU,SEBERANG PERAI UTARA,60,20/9/2024 - 19/9/2034,64,1,100.38186371900008,5.439238112000055
(P1D) 3106,LEBUH TENGGIRI 2, ,,MUKIM 1,"SUNWAY MEDICAL CENTRE PENANG (P1D) 3106, LEBUH TENGGIRI 2, PUSAT BANDAR SEBERANG JAYA, 13700 PERAI PULAU PINANG",,1,100.39674669,07,810,"5.395648594612216, 100.39674668809123",0,,P.044 - PERMATANG PAUH,5.39564859,2,01,1,0,10021,1767052800000,SPT MUKIM 1,,N.10,CHARGEHERE EV SOLUTION SDN BHD,070101000,2,P.044,,PULAU PINANG,N.10 - SEBERANG JAYA,SUNWAY MEDICAL CENTRE PENANG,LA 12/1/16/913 (D-EVCS),SPT,SEBERANG PERAI TENGAH,60,20/9/2024 - 19/9/2034,65,1,100.39674668800006,5.395648595000068
NO.2-6-1,MEDAN RAJAWALI, ,,MUKIM 12,"SOLARIA RESIDENCES AND SOLARIA SQUARE, NO.2-6-1, MEDAN RAJAWALI SUNGAI ARA, 11900 BAYAN LEPAS PULAU PINANG",,4,100.26597329,07,824,"5.300648336415467, 100.26597328675355",4,,P.053 - BALIK PULAU,5.30064834,0,05,0,4,50004,1767052800000,DBD MUKIM 12,,N.38,CHARGEHERE EV SOLUTION SDN BHD,070512000,4,P.053,,PULAU PINANG,N.38 - BAYAN LEPAS,SOLARIA RESIDENCES AND SOLARIA SQUARE,LA 12/1/16/990 (D-EVCS),DBD,BARAT DAYA,44,20/9/2024 - 19/9/2034,66,0,100.26597328700007,5.300648336000052
NO.1,PERSIARAN TUNKU KUDIN,SEK. 4,,JELUTONG,"PLATINO CONDOMINIUM NO.1, PERSIARAN TUNKU KUDIN, GELUGOR, 11700  GELUGOR  PINANG",,4,100.31312899,07,826,"5.377262217793589, 100.31312899256875",4,,P.051 - BUKIT GELUGOR,5.37726222,0,04,1,4,40038,1767052800000,DTL JELUTONG SEK. 4,,N.32,CHARGEHERE EV SOLUTION SDN BHD,070445004,4,P.051,,PULAU PINANG,N.32 - SERI DELIMA,PLATINO CONDOMINIUM,LA 12/1/16/999 (D-EVCS),DTL,TIMOR LAUT,44,20/9/2024 - 19/9/2034,67,0,100.31312899300008,5.377262218000055
,JALAN PERUSAHAAN JURU INTERCHANGE, ,,MUKIM 11,"CYCLE & CARRIAGE JURU, LOT 1798, JALAN PERUSAHAAN JURU INTERCHANGE, 13600 PERAI  PULAU PINANG",,1,100.42963881,07,827,"5.340855600509412, 100.42963880535413",1,,P.046 - BATU KAWAN,5.3408556,0,01,0,1,10022,1767052800000,SPT MUKIM 11,,N.17,CYCLE & CARRIAGE BINTANG BERHAD,070111000,1,P.046,LOT 1798,PULAU PINANG,N.17 - BUKIT TENGAH,CYCLE & CARRIAGE JURU,LA 12/1/14/875 (D-EVCS),SPT,SEBERANG PERAI TENGAH,22,27/8/2024 - 26/8/2034,68,0,100.42963880500008,5.340855601000044
1619,JALAN PENGKALAN, ,,MUKIM 11,"1619 JALAN PENGKALAN, KAMPUNG BUKIT TENGAH, 14000 BUKIT MERTAJAM, PULAU PINANG",,1,100.42474041,07,829,"5.349827236685405, 100.42474041124474",1, KAMPUNG BUKIT TENGAH,P.046 - BATU KAWAN,5.34982724,0,01,0,1,10023,1767052800000,SPT MUKIM 11,,N.17,CYCLE & CARRIAGE BINTANG BERHAD,070111000,1,P.046,,PULAU PINANG,N.17 - BUKIT TENGAH,CYCLE & CARRIAGE BUKIT TENGAH,LA 12/1/16/884 (D-EVCS),SPT,SEBERANG PERAI TENGAH,22,27/8/2024 - 26/8/2034,69,0,100.42474041100007,5.349827237000056
22,JALAN SULTAN AHMAD SHAH,SEK. 14,,GEORGE TOWN,"22 JLN SULTAN AHMAD SHAH, 10050  GEORGETOWN PULAU PINANG",,1,100.33410637,07,830,"5.42291370117352, 100.33410636980166",1,,P.049 - TANJONG,5.4229137,0,04,1,1,40039,1767052800000,DTL GEORGE TOWN SEK. 14,,N.26,CYCLE & CARRIAGE BINTANG BERHAD,070444014,1,P.049,,PULAU PINANG,N.26 - PADANG KOTA,CYCLE & CARRIAGE GEORGETOWN,LA 12/1/16/885 (D-EVCS),DTL,TIMOR LAUT,22,27/8/2024 - 26/8/2034,70,0,100.33410637000009,5.422913701000027
